"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 13 20:44:19 CST 2022","Wed Apr 13 20:44:19 CST 2022","271","","test_main","Test_login","","","登录模块",""
"passed","Wed Apr 13 20:44:19 CST 2022","Wed Apr 13 20:44:20 CST 2022","514","","test_main","Test_login","","","首页模块",""
"passed","Wed Apr 13 20:44:21 CST 2022","Wed Apr 13 20:44:21 CST 2022","104","","test_main","Test_zero","","","修改-零级",""
"failed","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","66","","test_main","Test_role","","","删除角色",""
"broken","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","88","","test_main","Test_acunt","","","新增用户",""
"passed","Wed Apr 13 20:44:21 CST 2022","Wed Apr 13 20:44:21 CST 2022","139","","test_main","Test_organ","","","修改-机构",""
"passed","Wed Apr 13 20:44:20 CST 2022","Wed Apr 13 20:44:20 CST 2022","90","","test_main","Test_institutional","","","机构分类列表",""
"broken","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","81","","test_main","Test_acunt","","","修改用户",""
"passed","Wed Apr 13 20:44:21 CST 2022","Wed Apr 13 20:44:21 CST 2022","109","","test_main","Test_zero","","","零级配置-列表",""
"passed","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","89","","test_main","Test_role","","","角色列表",""
"passed","Wed Apr 13 20:44:23 CST 2022","Wed Apr 13 20:44:23 CST 2022","97","","test_main","Test_me","","","删除菜单",""
"passed","Wed Apr 13 20:44:21 CST 2022","Wed Apr 13 20:44:21 CST 2022","141","","test_main","Test_organ","","","机构列表",""
"passed","Wed Apr 13 20:44:20 CST 2022","Wed Apr 13 20:44:20 CST 2022","187","","test_main","Test_institutional","","","修改机构分类",""
"passed","Wed Apr 13 20:44:21 CST 2022","Wed Apr 13 20:44:22 CST 2022","102","","test_main","Test_author","","","删除机构权限",""
"failed","Wed Apr 13 20:44:21 CST 2022","Wed Apr 13 20:44:21 CST 2022","77","","test_main","Test_zero","","","新增-零级",""
"passed","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:23 CST 2022","203","","test_main","Test_me","","","菜单列表",""
"failed","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","71","","test_main","Test_role","","","修改角色",""
"failed","Wed Apr 13 20:44:20 CST 2022","Wed Apr 13 20:44:20 CST 2022","73","","test_main","Test_institutional","","","新增机构分类",""
"failed","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","66","","test_main","Test_acunt","","","停用用户",""
"passed","Wed Apr 13 20:44:20 CST 2022","Wed Apr 13 20:44:21 CST 2022","88","","test_main","Test_institutional","","","删除机构分类",""
"failed","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","64","","test_main","Test_acunt","","","重置密码",""
"passed","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","142","","test_main","Test_acunt","","","用户列表",""
"failed","Wed Apr 13 20:44:22 CST 2022","Wed Apr 13 20:44:22 CST 2022","81","","test_main","Test_role","","","新增角色",""
"failed","Wed Apr 13 20:44:21 CST 2022","Wed Apr 13 20:44:21 CST 2022","95","","test_main","Test_organ","","","新增-机构",""
"passed","Wed Apr 13 20:44:21 CST 2022","Wed Apr 13 20:44:21 CST 2022","95","","test_main","Test_zero","","","删除-零级",""
